Module,Command,Description,Example,explain
2,rename(),rename the column,"rename(billboard, artist=`artist inverted`,date=`date entered`)",notice to use `` with the name including space
2,arrange(),sort the dataset by some column,"billboard<- billboard %>% arrange(artist)"
2,as.ordered(),convert column to an ordered factor,billboard$weeks<- as.ordered(billboard$weeks)
2,tail(),shows the last six rows of dataset,tail(mpg)
2,NULL,remove variables(column) by assign NULL to it,flights %>% mutate(dep time = NULL)
2,select(),select columns,"flights %>% select(origin, dest,distance)"
2,group_by(),split data into groups,"by month <- group by(flights,month)"
2,summarise(),get summarise,"summarise(by month, delay = mean(dep delay, na.rm = TRUE))",na.rm = TRUE: ignore all NAs.
2,ungroup(),ungroups column,ungroup() %>% mutate(day num = 1:length(delay))
2,head(),shows the first nine rows of dataset,head(mpg)
2,is_na(),find NA in dataset,"filter(starwars,!is.na(starwars$species))"
2,relocate(),move column,"relocate(mpg, ""cyl"", .before = model)",also use .after
2,bind_rows(),add rows,"bind_rows(mpg_gti,mpg_maxima)"
2,ifelse(),"ifelse(condition, return if true, return if false)","mutate(mpg, take4=ifelse(mpg$cyl==4,mpg$cyl,-99))"
2,re,$: use \\$.(: use \\(.digit:use \\d.alpha:use [::ALPHA::]
3,round(),round off to n decimal places "round(15.32257,-1)"
3,signif(),round off to n significant figures,"signif(15.32257,3)"
3,max(),return maximum value,"max(starwars$height,na.rm=TRUE)",be careful with NAs
3,min(),return minimum value,"min(starwars$height,na.rm=TRUE)"
3,sum(),return the sum of column,sum(mpg$cyl)
3,mean(),mean,"mean(mpg$cyl,na.rm = TRUE)"
3,sd(),sample standard deviation,"sd(mpg$hwy,na.rm = TRUE)"
3,moments::skewness(),shows the skewness(tail),moments::skewness(mpg$hwy)
3,IQR(),shows the inter-quatile range,IQR(mpg$hwy)
3,cor(),pearson correlation coefficient,"cor(mpg$displ,mpg$cty)",it should only be used with a scatterplot.
3,ggplot(),the basic graphic function,"ggplot(bp_long, aes(x = day, y = `blood pressure`, col = person))",aes: aesthetic mappings. col: each person should be different colour.
3,geom_point(),add points to the graph,geom_point()
3,geom_line(),add line to the graph,geom_line(aes(group = person))
3,geom_smooth(),add a trendline,geom_smooth(method = "lm")
3,facet_wrap(),split lines into its own plot,facet_wrap(~drv+cyl)
3,geom_jitter(),add random noise,geom_jitter(width=0.1)
3,labs(),add labels,"labs(colour = ""Type of drive"", shape = ""Fuel type"", x= ""Class of car"",y=""Highway efficiency (Miles/Gallon)"")"
3,geom_boxplot(),add boxplot,"geom_boxplot(aes(fill=clarity),colour=""azure"")"
3,aes(),,
4,geom_bar(),create a bar chart,"geom_bar(position = ""fill"",col = ""black"")"
4,geom_histogram(),create a geom_histogram,"geom_histogram(colour = ""black"", bins = 20)",notice:use bin to change the bin
4,theme(),rotate the axis,"theme(axis.text.x = element_text(angle = -90,hjust=0))"
4,show.legend = FALSE,drop the legend
5,preProcess(),creating a recipe for pre-processing,"preProcess(df, method = ""center"")",from caret pack
5,predict(),generate data base on the model you use,"mpg  <- predict(mpg_preprocess, mpg)",
5,BoxCoxTrans(),automatically find the non-linear relationship to fit a module,"bc <- BoxCoxTrans(y = dice$Volume,x = dice$SideWidth)"
5,moments::skewness(),shows the skewness of graph,moments::skewness(log(meuse$zinc))
6,linear_reg(),generate model for linear regression,"diamond_lm  <- linear_reg() %>% set_engine(""lm"") %>% fit(log(price)~log(carat),data = diamonds)"
6,set_engine(),set the type of engine this model use,set_engine(""lm"")
6,fit(),fit the model with some data,"fit(log(price)~log(carat), data = diamonds)",log(price):y.log(carat):x. data:data.
6,summary(),to see the model details,summary(diamond_lm$fit)
6,plot(),shows residual versus fitted plot,"plot(diamond_lm$fit,which = 1)"
6,predict(),use conf_int or pred_int in predict(),"predict(mpg_lm, new_data = new, type = ""conf_int"",level = 0.90)"
7,model_matrix(),modelr: convert categorical variables (factors) into numerical coordinates,"model_matrix(dt_team,~Pet)"
7,Anova(),car: Analysis of variance ,Anova(chickwts_lm$fit)
8,runif(),generate uniformly distributed numbers,"runif (500,max = 10)"
8,rbinom(),generate binomially distributed numbers (0 or 1),"rbinom (500, 1,prob = 1 / (1 + exp (-(x - 5)))"
8,conf_mat(),get the confusion matrix,"conf_mat(df, truth = y, estimate = my_pred )",df:data. truth: real result. estimate: predict result.
8,roc_curve(),calculate ROC,"roc_curve(df, .pred_0,truth = y) %>% autoplot()"
8,autoplot(),shows the plot of ROC,"roc_curve(df, .pred_0,truth = y) %>% autoplot()"
8,roc_auc(),calculate AUC of ROC,"roc_auc(df, .pred_0,truth=y)"
8,skim_without_charts(),skimr: a quick summary of your data,skim_without_charts(titanic)  
8,as.numeric(),convert to numbers,as.numeric(mpg$cly)
8,seq(),,"seq(a,b,s)"
8,skewness(),,
0,dim(),,
0,nrow(),,
0,ncol(),,
0,which(),,which(mpg$model == "civic")
0,as.character(),,
0,as.logical(),,
0,ymd(),,
0,sample(),,
0,str_replace_all(),,
0,abs(),,
0,as_tibble(),,
0,logistic_reg(),,
0,decistion_tree(),,
0,rpart.plot(),,
0,rand_forest(),,
0,metrics(),,
0,geom_vline(),,
0,geom_hline(),,
0,vi(),,
0,vip(),,
0,initial_split(),,
0,training(),,
0,testing(),,
0,vfold_cv(),,
0,fit_resamples(),,
0,collect_metrics(),,
0,duplicated(),,
